Date,Description,Montant,Détails,Apparait sur votre relevé de compte sous,Adresse,Ville,Code postal,Pays,Référence
12/29/2024,WEBLOYALTY SARL         NYON,"21,00",,WEBLOYALTY SARL         NYON,"23 ROUTE DE CRASSIER
BUSINESS PARK TERRE BONNE
BATIMENT A3
EYSINS",,1262,SWITZERLAND,'AT243640034000010268156'
12/29/2024,WWW.CDISCOUNT.COM/ATOS  BORDEAUX CEDEX,"27,49",,WWW.CDISCOUNT.COM/ATOS  BORDEAUX CEDEX,"120 126 QUAI DE BACALAN
BORDEAUX CEDEX",,33067,FRANCE,'AT243650042000010237121'
12/27/2024,BRITISH AIRWAYS FR DIRE FRANCE,"687,71","Trajet :    de        NICE
à         LONDON HEATHROW APCompagnie:      BA  Classe :        S
à         SAO PAULO GUARULHOCompagnie:      BA  Classe :        Q
à         LONDON HEATHROW APCompagnie:      BA  Classe :        O
à         LONDON HEATHROW APCompagnie:      BA  Classe :        S
N° du billet :  1252199195306           Passager :      REMI FAUCOMPRET",BRITISH AIRWAYS FR DIRE FRANCE,"SUBMISSIONS EUR
FRANCE",,00000,FRANCE,'AT243640034000010264029'
12/24/2024,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,"-1180,44",,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,,,,,'10000000011221999590510'
12/20/2024,VERSEMENT / COTISATION,"16,00",,VERSEMENT / COTISATION,,,,,'10000000011120998744750'
12/09/2024,TRIP.COM                INTERNET,"28,11",,TRIP.COM                INTERNET,"UNIT 3003 30/F PAUL Y CENTRE
51 HUNG TO ROAD
KWUN TONG
KLN",,00000,CHINA,'AT243440046000010286282'
12/08/2024,TRIP.COM                INTERNET,"6,77",,TRIP.COM                INTERNET,"UNIT 3003 30/F PAUL Y CENTRE
51 HUNG TO ROAD
KWUN TONG
KLN",,00000,CHINA,'AT243430034000010293574'
12/07/2024,TRIP.COM                INTERNET,"6,63",,TRIP.COM                INTERNET,"UNIT 3003 30/F PAUL Y CENTRE
51 HUNG TO ROAD
KWUN TONG
KLN",,00000,CHINA,'AT243420034000010244821'
12/07/2024,TRIP.COM                INTERNET,"51,95",,TRIP.COM                INTERNET,"UNIT 3003 30/F PAUL Y CENTRE
51 HUNG TO ROAD
KWUN TONG
KLN",,00000,CHINA,'AT243420034000010254966'
12/07/2024,TRIP.COM                INTERNET,"139,90",,TRIP.COM                INTERNET,"UNIT 3003 30/F PAUL Y CENTRE
51 HUNG TO ROAD
KWUN TONG
KLN",,00000,CHINA,'AT243430034000010297095'
